SEQN,Gender,Age,BodyWeight
94472,F,5,19.8
94473,F,73,81.1
94474,M,55,77.4
94475,F,26,37.5
94476,F,55,70.6
94477,F,58,39.4
94478,F,37,60.6
94479,F,64,79.7
94480,M,6,24.6
94481,F,31,86.9
94482,F,13,58.1
94483,F,74,80.3
94484,M,5,27
94485,F,0,9.3
94486,F,44,97.4
94487,M,29,96.9
94488,F,38,67.1
94489,F,4,19.8
94490,F,64,59.5
94491,F,19,109.4
94492,M,6,28.4
94493,M,63,78.4
94494,M,10,30.2
94495,F,4,14.5
94496,M,3,14.6
94497,M,45,82.1
94498,F,11,56.7
94499,M,62,57.7
94500,F,60,101.1
94501,F,41,93.5
94502,F,15,81.3
94503,F,52,57.9
94504,M,28,88.8
94505,M,7,31.1
94506,F,69,83.9
94507,M,34,127.4
94508,F,34,70.8
94509,F,53,74.5
94510,F,49,81.6
94511,M,7,37.2
94512,F,43,61.2
94513,M,2,13.5
94514,F,8,29.6
94515,F,58,98
94516,F,19,62.3
94517,M,19,84.2
94518,F,0,7.6
94519,M,59,94.2
94520,M,7,25.7
94521,M,0,8.8
94522,M,60,97.6
94523,F,65,66.2
94524,M,11,NA
94525,F,66,83.2
94526,M,37,104.2
94527,M,36,66.8
94528,M,34,159.6
94529,M,58,70.1
94530,M,22,64.9
94531,F,34,73.6
94532,F,36,72.6
94533,F,17,NA
94534,M,80,73
94535,M,80,NA
94536,M,13,51.1
94537,M,11,49.9
94538,M,42,69.7
94539,F,55,83.6
94540,F,10,46.9
94541,F,79,58.9
94542,M,30,NA
94543,F,12,66.6
94544,F,17,56.3
94545,M,18,90.2
94546,F,19,66.1
94547,F,67,46.4
94548,M,4,16.2
94549,M,80,82.1
94550,F,17,62.3
94551,M,2,NA
94552,F,56,59.5
94553,F,72,65.7
94554,M,69,81.8
94555,M,19,64.4
94556,M,7,20
94557,F,35,85.4
94558,F,62,51.4
94559,M,41,99
94560,F,24,104.9
94561,F,5,18.7
94562,M,16,58.4
94563,M,8,37.9
94564,F,80,60
94565,F,45,94.3
94566,F,43,NA
94567,M,16,81.3
94568,F,60,77.3
94569,F,27,58.7
94570,M,48,93.4
94571,F,80,71.6
94572,F,14,40.5
94573,F,62,63.5
94574,M,18,166.3
94575,F,80,54.9
94576,F,33,93.8
94577,F,30,60.7
94578,M,71,75.2
94579,M,52,82.1
94580,F,5,18.7
94581,M,80,NA
94582,M,1,10.9
94583,M,80,60.1
94584,M,10,36.7
94585,M,8,22.3
94586,F,74,54.6
94587,F,19,50.7
94588,M,7,25.9
94589,M,33,102.1
94590,F,65,73.5
94591,M,42,89
94592,F,0,8.3
94593,F,0,4.7
94594,F,42,119
94595,M,28,73.5
94596,M,45,74.6
94597,F,5,17.9
94598,M,46,NA
94599,F,4,21.4
94600,F,77,75
94601,F,15,107.7
94602,M,2,15.8
94603,F,5,28
94604,F,6,28.4
94605,M,42,92.5
94606,F,57,80.1
94607,M,38,100.1
94608,M,24,81.7
94609,F,70,65.1
94610,F,16,59.3
94611,F,11,58
94612,M,9,46.6
94613,F,13,42.8
94614,F,66,NA
94615,F,47,101.8
94616,M,62,99.7
94617,M,4,16.9
94618,M,49,101.8
94619,M,61,80.9
94620,F,0,7.3
94621,M,9,25.5
94622,M,4,17.2
94623,F,48,66.2
94624,M,38,65.3
94625,M,22,66.7
94626,M,15,90.5
94627,M,59,92.1
94628,M,2,9.9
94629,F,2,13.4
94630,M,15,146.1
94631,F,21,69.4
94632,F,70,76.6
94633,F,68,60.9
94634,F,80,58.9
94635,M,3,15.3
94636,M,8,45.8
94637,F,5,25.3
94638,M,35,104.1
94639,F,4,17.5
94640,F,55,73
94641,M,70,63.8
94642,F,62,92.8
94643,F,4,14.8
94644,M,24,58.9
94645,F,3,NA
94646,M,3,NA
94647,F,38,60.7
94648,F,45,46.5
94649,M,67,104.7
94650,F,65,71.8
94651,F,57,99.2
94652,F,74,57.1
94653,F,7,NA
94654,F,61,71
94655,F,3,13.9
94656,F,7,22
94657,F,9,38.4
94658,F,8,33.6
94659,M,18,77.5
94660,F,40,81
94661,F,2,NA
94662,M,0,7.3
94663,F,30,59
94664,M,41,59.4
94665,M,0,6.9
94666,F,38,98.6
94667,F,9,30.3
94668,M,7,23.6
94669,M,38,89.7
94670,M,60,83.9
94671,M,5,26.6
94672,F,29,88.5
94673,F,23,60.8
94674,M,17,60.3
94675,M,0,10.1
94676,M,67,76
94677,F,25,96.4
94678,F,58,71.4
94679,M,63,94.5
94680,M,1,12.7
94681,M,60,127.6
94682,F,0,10
94683,F,0,6.3
94684,F,38,79.2
94685,F,47,103.8
94686,F,33,76.2
94687,F,35,55.3
94688,M,61,90.5
94689,M,22,81
94690,F,2,10.5
94691,M,68,NA
94692,F,3,14.6
94693,M,59,112.5
94694,F,30,NA
94695,F,56,49.1
94696,F,43,55.6
94697,F,23,52.6
94698,F,59,52.3
94699,M,10,39.6
94700,M,10,45.9
94701,M,16,81.3
94702,F,17,68.6
94703,F,10,57.4
94704,F,80,69.9
94705,F,62,79.8
94706,F,43,70.8
94707,M,80,NA
94708,M,41,102.2
94709,M,6,27.2
94710,M,35,86
94711,F,64,105.4
94712,M,1,11.5
94713,F,56,68.2
94714,M,1,10.3
94715,F,4,16.8
94716,F,76,83.1
94717,F,6,30.4
94718,F,3,14.5
94719,F,56,81.1
94720,M,22,93.7
94721,M,30,131.6
94722,M,11,58
94723,F,18,59.1
94724,F,80,NA
94725,M,56,102
94726,F,46,84
94727,F,17,71.6
94728,F,3,16.9
94729,M,37,113.2
94730,F,62,63.8
94731,F,44,79.2
94732,F,45,84.9
94733,F,10,31.9
94734,M,8,25.3
94735,F,45,NA
94736,M,51,71.8
94737,M,32,NA
94738,F,4,19.9
94739,M,57,84.1
94740,F,46,52.7
94741,F,3,14.9
94742,F,10,31.6
94743,F,13,70.7
94744,M,43,98.3
94745,M,19,100.4
94746,F,34,NA
94747,F,59,62.8
94748,F,51,63.3
94749,F,13,76
94750,M,80,88.6
94751,M,9,26.8
94752,M,73,77.9
94753,F,74,69
94754,F,65,84.7
94755,F,74,73.6
94756,F,72,NA
94757,M,19,52.2
94758,M,34,NA
94759,M,6,16.9
94760,F,74,50.4
94761,M,24,74.4
94762,M,4,NA
94763,M,43,125.3
94764,F,43,119.3
94765,M,55,77.4
94766,M,42,103.2
94767,M,69,141.9
94768,M,80,98.3
94769,F,8,NA
94770,M,0,10.1
94771,F,42,69.3
94772,M,17,53.7
94773,M,32,85.6
94774,F,17,53.9
94775,F,26,81.1
94776,M,72,71.3
94777,F,80,54.8
94778,F,9,33.3
94779,M,80,87.7
94780,M,74,82.4
94781,F,9,26.9
94782,F,16,51.3
94783,F,28,58.7
94784,M,4,14.6
94785,M,55,72.5
94786,F,24,86.7
94787,M,19,79.8
94788,F,53,53.8
94789,F,8,27.1
94790,M,0,3.9
94791,M,12,NA
94792,M,66,66.1
94793,M,40,92.6
94794,F,0,8.9
94795,F,27,53.8
94796,M,0,8.2
94797,F,66,60
94798,F,80,NA
94799,F,17,63.5
94800,M,6,21.3
94801,M,45,96.1
94802,M,22,86.4
94803,F,31,NA
94804,M,16,55.1
94805,M,62,129.8
94806,M,55,76.2
94807,M,12,65.4
94808,F,41,86.7
94809,F,79,NA
94810,M,56,71.9
94811,M,68,89.1
94812,M,46,77.9
94813,F,62,62.8
94814,F,11,41.3
94815,M,1,9.5
94816,F,18,45.7
94817,F,1,NA
94818,M,76,NA
94819,F,32,56.1
94820,F,16,73
94821,M,15,95.8
94822,F,11,54.5
94823,F,1,13.1
94824,M,2,12.9
94825,F,6,24.1
94826,F,66,82.5
94827,F,9,27
94828,M,2,18.3
94829,F,80,64
94830,F,0,4.8
94831,F,64,56.7
94832,F,71,74.4
94833,F,15,56.9
94834,F,62,89
94835,F,59,85.1
94836,F,71,74.4
94837,F,33,54.5
94838,F,78,NA
94839,F,4,18.5
94840,F,16,55.4
94841,F,14,53.9
94842,F,12,73.2
94843,F,3,20.1
94844,M,36,87.1
94845,M,0,5.8
94846,M,4,17.7
94847,F,80,115.5
94848,F,32,74.2
94849,F,0,10
94850,M,46,57.7
94851,F,8,36.5
94852,M,33,108
94853,M,2,14.6
94854,F,52,69.5
94855,M,54,54.7
94856,F,77,58.8
94857,F,35,138.1
94858,F,44,100.5
94859,F,14,106.3
94860,F,33,106
94861,F,56,86.8
94862,F,53,52.3
94863,M,51,92.6
94864,M,16,58.2
94865,F,11,62.3
94866,M,11,NA
94867,M,55,109.2
94868,M,59,129
94869,M,2,16.2
94870,M,13,55.2
94871,M,69,NA
94872,M,80,72.3
94873,M,21,134.9
94874,M,18,65.3
94875,M,16,77.5
94876,F,17,49.2
94877,M,71,106.1
