source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,CP.1200.060,laundry detergent,foam spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,PC.0500.050,hand sanitizer,foam spray,0.5,2,1,0,0,1,0,0,1,1,1,0
product,PC.0900.070,toothpaste,foam spray,0.333333333,3,1,0,0,1,1,0,1,1,1,0
product,PC.0900.070,toothpaste,liquid,0.333333333,3,1,0,0,1,1,0,1,1,1,0
product,PC.0900.070,toothpaste,child,0.333333333,3,1,0,0,1,1,0,1,1,1,0
product,PC.1200.020,face cream/moisturizer,foam spray,0.333333333,3,1,0,0,1,0,0,1,1,1,0
product,PC.1600.010,fragrance,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,PC.2000.150,hair styling,foam spray,0.166666667,6,1,0,0,1,0,0,1,1,1,0
product,PC.1000.010,deodorant,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0
product,VE.0100.030,detailing,foam spray,0.25,4,0,0,0,1,0,1,1,0,0,0
product,PC.2300.080,lip balm,child,0.5,2,1,0,0,1,1,0,1,1,1,0
product,PC.2300.090,lip color,liquid,0.5,2,1,0,0,1,1,0,1,1,1,0
product,PE.0400.010,insecticide,foam spray,0.142857143,8,1,0,0,1,0,1,1,1,1,0
product,VE.0100.010,auto paint,foam spray,0.5,2,0,0,0,1,0,0,1,0,0,0
product,LY.0700.010,ph control,granules,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,HM.0100.010,adhesive remover,foam spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,LY.0700.010,ph control,foam spray,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,CP.1500.010,oven cleaner,foam spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,HM.1400.010,paint,foam spray,0.25,4,1,0,0,1,0,1,1,1,1,0
product,CP.1200.060,laundry detergent,child,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PC.0500.030,body wash,aerosol,0.25,4,1,0,0,1,0,1,1,1,1,0
product,PC.0500.060,hand soap,foam spray,0.5,2,1,0,0,1,0,0,1,1,1,0
product,PC.2900.010,sunscreen,child,0.142857143,7,0,0,0,1,0,1,1,0,0,0
product,CP.0100.010,air freshener,foam spray,0.166666667,6,1,0,0,1,0,1,1,0,1,0
product,CP.1800.010,wood polish,foam spray,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PE.0300.010,insect repellent,foam spray,0.166666667,6,0,0,0,1,0,1,1,0,0,0
