source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.2000.070,dry shampoo,powder,0.5,2,1,0,0,1,0,0,1,1,1,0,426
product,PC.2000.070,dry shampoo,aerosol,0.5,2,1,0,0,1,0,1,1,1,1,0,427
product,PC.2000.080,ethnic hair care,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,428
product,PC.2000.080,ethnic hair care,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,429
product,PC.2000.080,ethnic hair care,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,430
product,PC.2000.080,ethnic hair care,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,431
product,PC.2000.090,hair conditioner,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,432
product,PC.2000.090,hair conditioner,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,433
product,PC.2000.090,hair conditioner,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,434
product,PC.2000.100,hair conditioner - leave-in,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,435
product,PC.2000.100,hair conditioner - leave-in,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,436
product,PC.2000.100,hair conditioner - leave-in,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,437
product,PC.2000.100,hair conditioner - leave-in,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,438
product,PC.2000.110,hair conditioning treatment,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,439
product,PC.2000.110,hair conditioning treatment,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,440
product,PC.2000.110,hair conditioning treatment,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,441
product,PC.2000.110,hair conditioning treatment,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,442
product,PC.2000.120,hair conditioning treatment - professional,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,443
product,PC.2000.120,hair conditioning treatment - professional,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,444
product,PC.2000.120,hair conditioning treatment - professional,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,445
product,PC.2000.120,hair conditioning treatment - professional,pump spray,0.25,4,1,0,0,1,0,1,1,1,1,0,446
product,PC.2000.130,hair relaxer,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,447
product,PC.2000.130,hair relaxer,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,448
product,PC.2000.130,hair relaxer,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,449
product,PC.2000.140,hair spray,aerosol,0.5,2,1,0,0,1,0,1,1,1,1,0,450
product,PC.2000.140,hair spray,pump spray,0.5,2,1,0,0,1,0,1,1,1,1,0,451
product,PC.2000.150,hair styling,foam,0.166666667,6,1,0,0,1,0,0,1,1,1,0,452
product,PC.2000.150,hair styling,gel,0.166666667,6,1,0,0,1,0,0,1,1,1,0,453
product,PC.2000.150,hair styling,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0,454
product,PC.2000.150,hair styling,paste,0.166666667,6,1,0,0,1,0,0,1,1,1,0,455
product,PC.2000.150,hair styling,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0,456
product,PC.2000.150,hair styling,pump spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0,457
product,PC.2000.180,lice shampoo,liquid,0.5,2,1,0,0,1,0,0,1,1,1,0,458
product,PC.2000.180,lice shampoo,pump spray,0.5,2,1,0,0,1,0,1,1,1,1,0,459
product,PC.2000.190,scalp treatment,aerosol,0.166666667,6,1,0,0,1,0,1,1,1,1,0,460
product,PC.2000.190,scalp treatment,gel,0.166666667,6,1,0,0,1,0,0,1,1,1,0,461
product,PC.2000.190,scalp treatment,liquid,0.166666667,6,1,0,0,1,0,0,1,1,1,0,462
product,PC.2000.190,scalp treatment,paste,0.166666667,6,1,0,0,1,0,0,1,1,1,0,463
product,PC.2000.190,scalp treatment,powder,0.166666667,6,1,0,0,1,0,0,1,1,1,0,464
product,PC.2000.190,scalp treatment,pump spray,0.166666667,6,1,0,0,1,0,1,1,1,1,0,465
product,PC.2000.200,shampoo - dandruff,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,471
product,PC.2000.200,shampoo - dandruff,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,472
product,PC.2000.200,shampoo - dandruff,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,473
product,PC.2000.200,shampoo - dandruff,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,474
product,PC.2000.200,shampoo - dandruff,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,475
product,PC.2000.210,shampoo,foam spray,0.2,5,1,0,0,1,0,1,1,1,1,0,466
product,PC.2000.210,shampoo,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,467
product,PC.2000.210,shampoo,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,468
product,PC.2000.210,shampoo,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,469
product,PC.2000.210,shampoo,powder,0.2,5,1,0,0,1,0,0,1,1,1,0,470
product,PC.2200.010,liniment,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,476
product,PC.2200.010,liniment,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,477
product,PC.2200.010,liniment,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,478
product,PC.2200.010,liniment,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,479
product,PC.2200.010,liniment,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,480
product,PC.2300.010,blush/bronzer,paste,0.5,2,1,0,0,1,0,0,1,1,1,0,481
product,PC.2300.010,blush/bronzer,powder,0.5,2,1,0,0,1,0,0,1,1,1,0,482
